trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.75, 'e': 0.9992323652324192}",25,0,-56.285366973453286,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
100,False,"{'a': 0.75, 'e': 0.9992101340582635}",35,0,-144.36914346422753,"{0: 21, 1: 6, 2: 6, 3: 0, 4: 2}",0
101,False,"{'a': 0.75, 'e': 0.9991872595793228}",35,2,-243.68125174768767,"{0: 15, 1: 4, 2: 10, 3: 1, 4: 3}",1
102,False,"{'a': 0.75, 'e': 0.9991637232110179}",25,0,-190.46948617429192,"{0: 9, 1: 6, 2: 5, 3: 4, 4: 1}",0
103,False,"{'a': 0.75, 'e': 0.9991395058336833}",20,0,-213.27494009569796,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
104,False,"{'a': 0.75, 'e': 0.9991145877772669}",25,0,-189.94115680433893,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
105,False,"{'a': 0.75, 'e': 0.9990889488055994}",30,0,-89.67338845630519,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
106,False,"{'a': 0.75, 'e': 0.9990625681002197}",20,0,-91.26571545999934,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.75, 'e': 0.9990354242437459}",20,0,-94.7815094589335,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
108,False,"{'a': 0.75, 'e': 0.9990074952027783}",20,0,-88.93332800249574,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.75, 'e': 0.9989787583103231}",25,7,-114.15779787317996,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 1}",1
110,False,"{'a': 0.75, 'e': 0.9989491902477217}",20,0,-133.35486636314988,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
111,False,"{'a': 0.75, 'e': 0.9989187670260731}",20,0,-159.57788900050426,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
112,False,"{'a': 0.75, 'e': 0.9988874639671398}",25,0,-215.42412143317176,"{0: 11, 1: 6, 2: 4, 3: 0, 4: 4}",0
113,False,"{'a': 0.75, 'e': 0.9988552556837131}",20,0,-90.16694234156662,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
114,False,"{'a': 0.75, 'e': 0.9988221160594364}",25,0,-152.74281840194143,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
115,False,"{'a': 0.75, 'e': 0.9987880182280601}",25,0,-78.80967542063057,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
116,False,"{'a': 0.75, 'e': 0.9987529345521201}",30,0,-126.51936789054795,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
117,False,"{'a': 0.75, 'e': 0.9987168366010244}",20,0,-39.903736613399325,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
118,False,"{'a': 0.75, 'e': 0.9986796951285253}",25,0,-119.6422225345565,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
119,False,"{'a': 0.75, 'e': 0.9986414800495711}",25,13,-31.495675559814163,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.75, 'e': 0.9986021604165112}",30,0,-197.3041943322294,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
121,False,"{'a': 0.75, 'e': 0.9985617043946441}",20,0,-98.49688113343343,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
122,False,"{'a': 0.75, 'e': 0.998520079237089}",25,0,-111.8005754737614,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
123,False,"{'a': 0.75, 'e': 0.9984772512589603}",20,0,-95.83032679625731,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
124,False,"{'a': 0.75, 'e': 0.9984331858108326}",20,0,-135.54723804927835,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
125,False,"{'a': 0.75, 'e': 0.9983878472514738}",25,0,-50.8617130416139,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
126,False,"{'a': 0.75, 'e': 0.9983411989198255}",20,0,-50.49532992922843,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
127,False,"{'a': 0.75, 'e': 0.9982932031062184}",20,0,-93.22841952042519,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
128,False,"{'a': 0.75, 'e': 0.998243821022793}",20,0,-157.58333556578543,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
129,False,"{'a': 0.75, 'e': 0.9981930127731162}",20,0,-73.75251255747487,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
130,False,"{'a': 0.75, 'e': 0.9981407373209626}",25,0,-109.32722023182366,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
131,False,"{'a': 0.75, 'e': 0.9980869524582471}",25,0,-142.8752845155649,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
132,False,"{'a': 0.75, 'e': 0.9980316147720839}",25,0,-161.05239475114706,"{0: 10, 1: 4, 2: 7, 3: 4, 4: 0}",0
133,False,"{'a': 0.75, 'e': 0.9979746796109501}",20,0,-156.54823766402276,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
134,False,"{'a': 0.75, 'e': 0.9979161010499313}",25,0,-123.11517602830219,"{0: 11, 1: 9, 2: 3, 3: 1, 4: 1}",0
135,False,"{'a': 0.75, 'e': 0.9978558318550271}",25,0,-235.38925186613181,"{0: 10, 1: 1, 2: 10, 3: 1, 4: 3}",0
136,False,"{'a': 0.75, 'e': 0.997793823446493}",25,2,-147.9905821074344,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 1}",1
137,False,"{'a': 0.75, 'e': 0.9977300258611934}",25,0,-153.20769542252123,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
138,False,"{'a': 0.75, 'e': 0.997664387713943}",20,0,-123.0406258669077,"{0: 9, 1: 4, 2: 3, 3: 4, 4: 0}",0
139,False,"{'a': 0.75, 'e': 0.9975968561578112}",25,0,-114.11384743097787,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
140,False,"{'a': 0.75, 'e': 0.9975273768433653}",20,0,-95.17044413374025,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
141,False,"{'a': 0.75, 'e': 0.9974558938768233}",25,0,-58.441836464424206,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
142,False,"{'a': 0.75, 'e': 0.9973823497770958}",25,0,-136.11856442409663,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
143,False,"{'a': 0.75, 'e': 0.997306685431685}",25,0,-128.8949432795893,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
144,False,"{'a': 0.75, 'e': 0.9972288400514174}",20,0,-63.94394700083496,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
145,False,"{'a': 0.75, 'e': 0.9971487511239807}",20,0,-39.7617194649512,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
146,False,"{'a': 0.75, 'e': 0.9970663543662382}",25,0,-93.41302359092633,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
147,False,"{'a': 0.75, 'e': 0.9969815836752917}",25,0,-67.96701998542967,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
148,False,"{'a': 0.75, 'e': 0.996894371078264}",30,0,-224.62044965627342,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
149,False,"{'a': 0.75, 'e': 0.9968046466807727}",20,0,-54.0612098018998,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
150,False,"{'a': 0.75, 'e': 0.9967123386140659}",25,0,-145.25198762386887,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
151,False,"{'a': 0.75, 'e': 0.9966173729807869}",30,0,-97.8162174607123,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
152,False,"{'a': 0.75, 'e': 0.9965196737993424}",25,0,-145.72840955430294,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
153,False,"{'a': 0.75, 'e': 0.9964191629468396}",25,10,-58.58544266040194,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
154,False,"{'a': 0.75, 'e': 0.9963157601005641}",20,0,-117.75623857521283,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
155,False,"{'a': 0.75, 'e': 0.9962093826779632}",25,0,-124.56308824975771,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
156,False,"{'a': 0.75, 'e': 0.9960999457751105}",25,0,-89.44064476046213,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
157,False,"{'a': 0.75, 'e': 0.9959873621036092}",25,0,-39.0127422870645,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.75, 'e': 0.9958715419259138}",20,0,-91.96926953509586,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
159,False,"{'a': 0.75, 'e': 0.9957523929890285}",20,11,-56.051368126038206,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
160,False,"{'a': 0.75, 'e': 0.9956298204565557}",30,0,-174.33396904566328,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
161,False,"{'a': 0.75, 'e': 0.9955037268390589}",25,0,-170.70850338857554,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
162,False,"{'a': 0.75, 'e': 0.995374011922709}",20,0,-58.4429757393818,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
163,False,"{'a': 0.75, 'e': 0.9952405726961813}",25,0,-114.13469240603057,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
164,False,"{'a': 0.75, 'e': 0.995103303275769}",30,0,-203.53889065126577,"{0: 8, 1: 12, 2: 8, 3: 0, 4: 2}",0
165,False,"{'a': 0.75, 'e': 0.9949620948286828}",25,12,-2.2141763026695953,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.75, 'e': 0.9948168354945032}",20,0,-61.62599165324422,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
167,False,"{'a': 0.75, 'e': 0.9946674103047513}",30,0,-126.97285101089112,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
168,False,"{'a': 0.75, 'e': 0.9945137011005495}",20,0,-64.70346751679264,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
169,False,"{'a': 0.75, 'e': 0.9943555864483391}",20,0,-114.59474719249243,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
170,False,"{'a': 0.75, 'e': 0.9941929415536206}",20,13,-2.55798487384881,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.75, 'e': 0.9940256381726902}",20,0,-69.45601216587433,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
172,False,"{'a': 0.75, 'e': 0.9938535445223388}",20,0,-74.83172050817113,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",0
173,False,"{'a': 0.75, 'e': 0.9936765251874868}",25,0,-96.53611397489388,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
174,False,"{'a': 0.75, 'e': 0.9934944410267221}",25,10,17.89445238266031,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.9933071490757153}",30,0,-158.32006221368746,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
176,False,"{'a': 0.75, 'e': 0.9931145024484854}",20,5,-52.68551973695781,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",1
177,False,"{'a': 0.75, 'e': 0.9929163502364897}",25,0,-113.19383265134582,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
178,False,"{'a': 0.75, 'e': 0.9927125374055104}",30,0,-114.35689152936708,"{0: 18, 1: 6, 2: 2, 3: 4, 4: 0}",0
179,False,"{'a': 0.75, 'e': 0.9925029046903182}",20,0,-132.58178790598072,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
180,False,"{'a': 0.75, 'e': 0.9922872884870879}",20,0,-77.86978516240278,"{0: 8, 1: 6, 2: 6, 3: 0, 4: 0}",0
