trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
770,False,"{'a': 0.75, 'e': 0.032790447828078606}",20,2,26.734743003475756,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.75, 'e': 0.03079145908246612}",30,12,-6.546488339019104,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
772,False,"{'a': 0.75, 'e': 0.028792347171058365}",20,10,19.103709780243364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.75, 'e': 0.026793120090300316}",25,17,14.420297150132145,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.75, 'e': 0.024793785837097626}",25,14,7.0606121291551815,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
775,False,"{'a': 0.75, 'e': 0.02279435240878465}",20,6,23.8951103302175,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.75, 'e': 0.020794827803092428}",25,11,28.405940558827012,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.75, 'e': 0.01879522001811672}",25,8,-10.854064664357047,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
778,False,"{'a': 0.75, 'e': 0.016795537052286005}",20,8,23.058557786203906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.75, 'e': 0.01479578690432947}",30,8,36.14173200578893,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.75, 'e': 0.012795977573245047}",30,18,22.42362528228349,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.75, 'e': 0.010796117058267392}",25,13,24.358488946732958,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.75, 'e': 0.0087962133588359}",20,11,17.00386191268541,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,7,22.614241347115748,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,0,54.33001364652978,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,18,21.15841257914942,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,9,35.715080907443365,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,19,10.19291743577497,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,15,9.538756372805123,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,15.426249886824715,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,18.290655254082424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,8.416488858938669,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,15,9.884797352067034,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,20,7.8581482534349565,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,22,15.854286840715098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",35,23,26.27219272279141,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,19,10.753924705609224,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,9,20.668617308457186,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,10,20.201491521271958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,15,17.466322902792815,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,9,29.092988228420666,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,17,15.355974318460694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,16,8.067161832493142,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
